Id,Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2014-15_x,2015-16_x,2016-17_x,2017-18_x,2014-15_y,2015-16_y,2016-17_y,2017-18_y,2014-15,2015-16,2016-17,2017-18,2014-15%,2015-16%,2016-17%,2017-18%
224,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,Military Rehabilitation and Compensation Act 2004 - Other income support and compensation-related payments,37,37,37,38,37,37,37,38,0,0,0,0,0,0,0,0
225,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.1:  General Medical Consultations and Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Specialist consultations,148640,144081,144143,139755,148640,143856,134677,122072,0,-225,-9466,-17683,0,-0.001561622,-0.065670896,-0.126528568
226,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.2: Veterans' Hospital Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Public hospitals,745596,745665,759484,776036,745596,743466,755756,770709,0,-2199,-3728,-5327,0,-0.002949045,-0.004908596,-0.006864372
227,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.2: Veterans' Hospital Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Psych,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
228,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Grants-In-Aid,145,145,145,145,145,145,145,145,0,0,0,0,0,0,0,0
229,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Community Care Grants,630,627,638,647,630,624,635,643,0,-3,-3,-4,0,-0.004784689,-0.004702194,-0.00618238
230,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Joint Venture Grants,1110,1106,1126,1142,1110,1103,1121,1135,0,-3,-5,-7,0,-0.002712477,-0.004440497,-0.006129597
231,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),JV Day Clubs,381,368,375,401,381,368,373,398,0,0,-2,-3,0,0,-0.005333333,-0.007481297
232,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Veterans' Home Care,100725,100286,102260,106811,100725,99990,101758,105975,0,-296,-502,-836,0,-0.002951559,-0.004909055,-0.007826909
233,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - In-home respite,21565,21427,21738,22598,21565,21364,21631,22444,0,-63,-107,-154,0,-0.002940216,-0.004922256,-0.006814762
234,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Legal expenses,55,55,56,57,55,55,56,57,0,0,0,0,0,0,0,0
235,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Health & medical research,2504,2495,2541,2589,2504,2489,2529,2571,0,-6,-12,-18,0,-0.00240481,-0.00472255,-0.006952491
236,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Travel for treatment,183921,184710,186713,192490,183921,184167,185798,191170,0,-543,-915,-1320,0,-0.002939743,-0.004900569,-0.006857499
237,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Non-institutional care - services,178606,190178,193603,196501,178606,189001,180554,177285,0,-1177,-13049,-19216,0,-0.006188939,-0.067400815,-0.097790851
238,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Health treatment for BCAL veterans,9615,9587,9768,10147,9615,9560,9720,9419,0,-27,-48,-728,0,-0.002816314,-0.004914005,-0.071745343
239,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Special appropriation,Australian Participants in British Nuclear Tests (Treatment) Act 2006 - Nuclear test health care payments,421,420,418,427,421,420,416,424,0,0,-2,-3,0,0,-0.004784689,-0.007025761
240,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.6 Military Rehabilitation and Compensation Acts - Health & Other Care Services,Administered expenses,Special appropriation,"Safety, Rehabilitation and Compensation Act 1988 - Medical services",20264,20238,20214,20678,20264,20178,20114,20535,0,-60,-100,-143,0,-0.00296472,-0.004947066,-0.006915562
241,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.6 Military Rehabilitation and Compensation Acts - Health & Other Care Services,Administered expenses,Special appropriation,"Safety, Rehabilitation and Compensation Act 1988 - Rehabilitation services",6369,6276,6184,6307,6369,6258,6154,6264,0,-18,-30,-43,0,-0.002868069,-0.004851229,-0.006817821
242,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.6 Military Rehabilitation and Compensation Acts - Health & Other Care Services,Administered expenses,Special appropriation,"Safety, Rehabilitation and Compensation Act 1988 - Other services",13156,13151,13142,13324,13156,13112,13077,13233,0,-39,-65,-91,0,-0.002965554,-0.004945975,-0.006829781
243,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.6 Military Rehabilitation and Compensation Acts - Health & Other Care Services,Administered expenses,Special appropriation,Military Rehabilitation and Compensation Act 2004 - Other services,2031,2410,2858,2915,2031,2404,2843,2894,0,-6,-15,-21,0,-0.002489627,-0.005248425,-0.007204117
244,Finance Portfolio,Australian Electoral Commission,"Outcome 1: Maintain an impartial and independent electoral system for eligible voters through active electoral roll management, efficient delivery of polling services, and targeted education and public awareness programmes.",Programme 1.1: Electoral Roll Management,Departmental expenses,Special appropriation,Commonwealth Electoral Act 1918 (D),9000,9000,9000,9000,9000,9000,9000,9000,0,0,0,0,0,0,0,0
245,Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1: Other Departmental DHOR,Departmental expenses,Special Account,Inter-Parliamentary Relations Special Account,62,62,62,62,62,60,60,60,0,-2,-2,-2,0,-0.032258065,-0.032258065,-0.032258065
246,Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 2: Schools Hospitality,Administered expenses,Administered appropriation,2.1 - Schools Hospitality,325,325,325,325,325,324,323,322,0,-1,-2,-3,0,-0.003076923,-0.006153846,-0.009230769
247,Parliamentary Departments,Parliamentary Budget Office,"Outcome 1: To inform the Parliament by providing independent and non-partisan analysis of the budget cycle, fiscal policy and the financial implications of proposals",Program 1,Departmental expenses,Special appropriation,Parliamentary Service Act 1999,0,250,300,400,0,198,612.06,831.6212,0,-52,312.06,431.6212,0,-0.208,1.0402,1.079053
248,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.1: Sustainable Management of Natural Resources and the Environment,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Green Army,48430,97679,148299,230562,48430,90867,134036,183891,0,-6812,-14263,-46671,0,-0.069738634,-0.096177317,-0.202422776
249,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.1: Sustainable Management of Natural Resources and the Environment,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Great Barrier Reef Foundation - contribution,3125,3125,3125,0,3125,3125,3125,0,0,0,0,0,0,0,0,0
250,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.1: Sustainable Management of Natural Resources and the Environment,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Tasmanian Forests Agreement - Implementation Package,5720,0,0,0,5720,0,0,0,0,0,0,0,0,0,0,0
251,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.2: Environmental Information and Research,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National Environmental Science Programme,23754,27254,25520,25520,23754,27254,25520,25520,0,0,0,0,0,0,0,0
252,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.2: Environmental Information and Research,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),International Whale Science Initiative,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0
253,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.2: Environmental Information and Research,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Australian Biological Resources Study,2030,2030,2030,2030,2030,2030,2030,2030,0,0,0,0,0,0,0,0
254,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.2: Environmental Information and Research,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Sustainable Australia - Suburban Jobs,8736,0,0,0,8736,0,0,0,0,0,0,0,0,0,0,0
255,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.4: Conservation of Australia's Heritage and Environment,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Heritage Grants,4420,4420,4420,4420,4420,4420,4420,4420,0,0,0,0,0,0,0,0
256,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.4: Conservation of Australia's Heritage and Environment,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National Trusts Partnership Programme,927,927,927,927,927,927,927,927,0,0,0,0,0,0,0,0
257,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.4: Conservation of Australia's Heritage and Environment,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Community Heritage and Icons Grants Programme,467,467,467,0,467,467,467,0,0,0,0,0,0,0,0,0
258,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.5: Environmental Regulation,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Remediation of land affected by the Tiwi Islands Plantation Project,194,194,0,0,194,74,0,0,0,-120,0,0,0,-0.618556701,0,0
259,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.5: Environmental Regulation,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Environment Protection and Biodiversity Conservation Act - Water Resources Amendment,259,259,259,259,259,259,259,259,0,0,0,0,0,0,0,0
260,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.5: Environmental Regulation,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Orangutan Reintroduction ,200,100,0,0,200,100,0,0,0,0,0,0,0,0,0,0
261,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.",Programme 1.5: Environmental Regulation,Administered expenses,Other services (Appropriation Bill No. 2),Sustainable Australia - Sustainable Regional Development (SPP),120,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0
262,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.","Programme 1.6: Management of Hazardous Wastes, Substances and Pollutants",Administered expenses,Special Account,Ozone & Synthetic Greenhouse Gas Account,12346,12804,12804,12804,12346,12804,12804,12804,0,0,0,0,0,0,0,0
263,Environment Portfolio,Department of the Environment,"Outcome 2:Reduce Australia's greenhouse gas emissions, adapt to the impacts of climate change and contribute to the negotiation of an effective global solution to climate change, through developing and implementing a national response to climate change.",Programme 2.1: Reducing Australia's Greenhouse Gas Emissions,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Extending the benefits of the Carbon Farming initiative,909,475,428,0,909,475,428,0,0,0,0,0,0,0,0,0
264,Environment Portfolio,Department of the Environment,"Outcome 2:Reduce Australia's greenhouse gas emissions, adapt to the impacts of climate change and contribute to the negotiation of an effective global solution to climate change, through developing and implementing a national response to climate change.",Programme 2.1: Reducing Australia's Greenhouse Gas Emissions,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Solar Towns establishment,500,1350,250,0,500,1350,250,0,0,0,0,0,0,0,0,0
265,Environment Portfolio,Department of the Environment,"Outcome 2:Reduce Australia's greenhouse gas emissions, adapt to the impacts of climate change and contribute to the negotiation of an effective global solution to climate change, through developing and implementing a national response to climate change.",Programme 2.2: Adapting to Climate Change,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Natural resource management  for climate change,1250,1226,0,0,1250,1226,0,0,0,0,0,0,0,0,0,0
266,Environment Portfolio,Department of the Environment,"Outcome 2:Reduce Australia's greenhouse gas emissions, adapt to the impacts of climate change and contribute to the negotiation of an effective global solution to climate change, through developing and implementing a national response to climate change.",Programme 2.2: Adapting to Climate Change,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National Climate Change Adaptation Research Facility,2805,3266,2730,0,2805,3266,2730,0,0,0,0,0,0,0,0,0
267,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Water Resources Assessment and Research Grant,175,175,175,0,175,175,175,0,0,0,0,0,0,0,0,0
268,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Independent Expert Scientific Committee on Coal Seam Gas and Large Coal Mining,885,885,1035,1035,885,885,1035,1035,0,0,0,0,0,0,0,0
269,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Administered expenses,Other services (Appropriation Bill  No. 2),National Urban Water and Desalination Plan (SPP),5500,2100,0,0,5500,2100,0,0,0,0,0,0,0,0,0,0
270,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Administered expenses,Special Account,Water Efficiency Labelling and Standards Account ,1948,1963,1981,1981,1948,1963,1981,1981,0,0,0,0,0,0,0,0
271,Attorney-General's Portfolio,Australian Institute of Criminology,"Outcome 1: Informed crime and justice policy and practice in Australia by undertaking, funding and disseminating policy-relevant research of national significance; and through the generation of a crime and justice evidence base and national knowledge centre",Programme 1.1: Australian Institute of Criminology,Departmental expenses,Special Account,Criminology Research Special Account,3728,3031,3228,3331,3728,3094,3228,3331,0,63,0,0,0,0.020785219,0,0
272,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.1: Agricultural Adaptation,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Interim Farm Household Allowance,3355,0,0,0,3355,0,0,0,0,0,0,0,0,0,0,0
273,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.4: Fishing Industry,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Fisheries Resources Research Fund,339,2188,2255,2328,339,382,2244,2309,0,-1806,-11,-19,0,-0.825411335,-0.004878049,-0.008161512
274,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Australian Animal Welfare Strategy,629,0,0,0,629,0,0,0,0,0,0,0,0,0,0,0
275,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Rural Industries Research and Development Corporation,9449,8654,8876,9114,9449,8628,8833,9042,0,-26,-43,-72,0,-0.003004391,-0.004844525,-0.007899934
276,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.12: Rural Programs,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Rural Financial Counselling Service,17032,14336,14608,14901,17032,16094,14536,14784,0,1758,-72,-117,0,0.122628348,-0.004928806,-0.007851822
277,Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Programme 1.13: International Market Access,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),International Organisations Contributions,1798,1831,1865,1902,1798,1827,1858,1889,0,-4,-7,-13,0,-0.002184599,-0.003753351,-0.006834911
278,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),ICT Centre of Excellence,21435,21000,0,0,21435,21000,0,0,0,0,0,0,0,0,0,0
279,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Regional Equalisation Plan,1000,1000,1000,0,1000,1000,1000,0,0,0,0,0,0,0,0,0
280,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Spectrum - Assistance to Broadcasters for Electronic News Gathering,9103,0,0,0,9103,0,0,0,0,0,0,0,0,0,0,0
281,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Expenses not requiring appropriation in the budget year,International Organisation Contributions,2583,2597,2597,2636,2583,2660,2777,2777,0,63,180,141,0,0.02425876,0.069310743,0.053490137
282,Social Services Portfolio,Department of Human Services,"Outcome 1: Support individuals, families and communities to achieve greater self-sufficiency; through the delivery of policy advice and high quality accessible social, health and child support services and other payments; and support providers and businesses through convenient and efficient service delivery.",Programme 1.1: Services to the Community - Social Security and Welfare,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Income Management BasicsCard,3000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0
283,Social Services Portfolio,Department of Human Services,"Outcome 1: Support individuals, families and communities to achieve greater self-sufficiency; through the delivery of policy advice and high quality accessible social, health and child support services and other payments; and support providers and businesses through convenient and efficient service delivery.",Programme 1.1: Services to the Community - Social Security and Welfare,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Future Workforce,3129,0,0,0,3129,0,0,0,0,0,0,0,0,0,0,0
284,Social Services Portfolio,Department of Human Services,"Outcome 1: Support individuals, families and communities to achieve greater self-sufficiency; through the delivery of policy advice and high quality accessible social, health and child support services and other payments; and support providers and businesses through convenient and efficient service delivery.",Programme 1.3: Child Support,Administered expenses,Special appropriation,Child Support Act - s78 - unexplained remittances,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0
285,Health Portfolio,Department of Health,Outcome 1:  Population Health,Programme 1.3: Immunisation,Administered expenses,Special account,Australian Childhood Immunisation Register Special Account,9475,9563,9650,9820,9475,9563,9650,9820,0,0,0,0,0,0,0,0
286,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme 7.7: Regulatory policy,Departmental expenses,Special account,NICNAS Special Account,13267,13583,13533,13533,13267,19620,19489,13533,0,6037,5956,0,0,0.444452625,0.440109362,0
287,Health Portfolio,Department of Health,Outcome 9: Biosecurity and Emergency Response,Programme expenses 9.1: Health Emergency Planning and Response,Administered expenses,Special Account,Human Pituitary Hormones,160,160,160,170,160,160,160,170,0,0,0,0,0,0,0,0
288,Health Portfolio,Department of Health,Outcome 10: Sport and Recreation,Program expenses 10.1: Sport and Recreation,Administered expenses,Special account,Sport and Recreation Special Account,12168,558,587,587,12168,378,407,407,0,-180,-180,-180,0,-0.322580645,-0.306643952,-0.306643952
289,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.2: Child Payments,Administered expenses,Special appropriations,A New Tax System (Family Assistance)(Administration) Act 1999 - Stillborn Baby Payment,2009,2081,2171,2254,2009,1913,2060,2254,0,-168,-111,0,0,-0.080730418,-0.051128512,0
290,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.5: Supplementary Payments and Support for Income Support Recipients,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Reimbursement to Great Southern Rail for Concessional Fares,8844,9077,0,0,8844,8997,0,0,0,-80,0,0,0,-0.008813485,0,0
291,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.5: Supplementary Payments and Support for Income Support Recipients,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Essential Medical Equipment Payment,6445,6655,6861,7069,6445,6611,6817,7025,0,-44,-44,-44,0,-0.00661157,-0.006413059,-0.00622436
292,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.6: Income Support for Seniors,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Extend deeming provisions to account-based income streams _ awareness strategy,205,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0
